Date	Location	Team	OppTeam	TeamId	GameId	PercentBet_ML	Open_Line_ML	Pinnacle_ML	5dimes_ML	Heritage_ML	Bovada_ML	Betonline_ML	Average_Line_ML	Best_Line_ML	Worst_Line_ML	PercentBet_Spread	Open_Line_Spread	Open_Odds_Spread	Pinnacle_Line_Spread	Pinnacle_Odds_Spread	5dimes_Line_Spread	5dimes_Odds_Spread	Heritage_Line_Spread	Heritage_Odds_Spread	Bovada_Line_Spread	Bovada_Odds_Spread	Betonline_Line_Spread	Betonline_Odds_Spread	Average_Line_Spread	Average_Odds_Spread	Best_Line_Spread	Worst_Line_Spread	Best_Odds_Spread	Worst_Odds_Spread	PercentBet_OU	Open_Line_OU	Open_Odds_OU	Pinnacle_Line_OU	Pinnacle_Odds_OU	5dimes_Line_OU	5dimes_Odds_OU	Heritage_Line_OU	Heritage_Odds_OU	Bovada_Line_OU	Bovada_Odds_OU	Betonline_Line_OU	Betonline_Odds_OU	Average_Line_OU	Average_Odds_OU	Best_Line_OU	Worst_Line_OU	Best_Odds_OU	Worst_Odds_OU	Pts	Spread	Result	Total
11/30/18	home	Philadelphia	Washington	1610612755	21800322	53.8		-385	-380	-435	-430	-410	-408	-380	-435	56.6	-7.5	-110	-8.5	-104	-8.5	-103	-8.5	-105	-8.5	-115	-8.5	-110	-8.33	-107.83	-7.5	-8.5	-103	-115	48.3	235	-110	234	-107	233.5	-106			234	-115	233.5	-110	234	-109.6	235	233.5	-106	-115	123	25	W	221
11/30/18	away	Memphis	Brooklyn	1610612763	21800323	57.3	-125	-135	-135	-140	-140	-135	-137	-135	-140	57.8	-2	-110	-2.5	-102	-2.5	-105	-2.5	-105	-3	-105	-2.5	-108	-2.5	-105.83	-2	-3	-102	-110	54.8	210.5	-110	207	-106	207	-105	207	-105	207	-110	207	-107	207.58	-107.17	210.5	207	-105	-110	131	6	W	256
11/30/18	home	Brooklyn	Memphis	1610612751	21800323	42.7	105	122	125	120	120	115	120.4	125	115	42.2	2	-110	2.5	-108	2.5	-105	2.5	-105	3	-115	2.5	-112	2.5	-109.17	3	2	-105	-115	45.2	210.5	-110	207	-104	207	-105	207	-105	207	-110	207	-113	207.58	-107.83	210.5	207	-104	-113	125	-6	L	256
11/30/18	away	New Orleans	Miami	1610612740	21800324	51.3	-145	-146	-145	-150	-155	-150	-149.2	-145	-155	50.6	-3	-110	-3	-100	-3	-107	-3	-105	-3.5	-105	-3	-105	-3.08	-105.33	-3	-3.5	-100	-110	50.7	229.5	-110	228	-107	228	-105	228	-105	228	-110	228	-110	228.25	-107.83	229.5	228	-105	-110	101	-5	L	207
11/30/18	home	Miami	New Orleans	1610612748	21800324	48.7	125	132	135	130	135	130	132.4	135	130	49.4	3	-110	3	-110	3	-103	3	-105	3.5	-115	3	-115	3.08	-109.67	3.5	3	-103	-115	49.3	229.5	-110	228	-103	228	-105	228	-105	228	-110	228	-110	228.25	-107.17	229.5	228	-103	-110	106	5	W	207
11/30/18	away	Atlanta	Oklahoma City	1610612737	21800325	57.8	876	757	800	770	725	750	760.4	800	725	48.4	13.5	-110	12.5	-106	13	-106			13	-110	12.5	-110	12.9	-108.4	13.5	12.5	-106	-110	56	225	-110	229	-104	230	-106	230	-105			229	-113	228.6	-107.6	230	225	-104	-113	109	-15	L	233
11/30/18	home	Oklahoma City	Atlanta	1610612760	21800325	42.2	-1500	-983	-1000	-1070	-1300	-1050	-1080.6	-983	-1300	51.6	-13.5	-110	-12.5	-104	-13	-104			-13	-110	-12.5	-110	-12.9	-107.6	-12.5	-13.5	-104	-110	44	225	-110	229	-106	230	-104	230	-105			229	-107	228.6	-106.4	230	225	-104	-110	124	15	W	233
11/30/18	away	Houston	San Antonio	1610612745	21800326	54.7	-110		-170	-175	-170	-175	-172.5	-170	-175	50.4	1	-110	-4	-102	-4	-105	-4	-105	-4	-105	-4	-110	-3.17	-106.17	1	-4	-102	-110	46.9	217	-110	216	-102	215.5	-105	215.5	-105	216	-115	216	-110	216	-107.83	217	215.5	-102	-115	136	31	W	241
11/30/18	home	San Antonio	Houston	1610612759	21800326	45.3	-110		160	155	150	155	155	160	150	49.6	-1	-110	4	-108	4	-105	4	-105	4	-115	4	-110	3.17	-108.83	4	-1	-105	-115	53.1	217	-110	216	-108	215.5	-105	215.5	-105	216	-105	216	-110	216	-107.17	217	215.5	-105	-110	105	-31	L	241
11/30/18	away	Orlando	Phoenix	1610612753	21800327	52.8	-120		-178	-185	-190	-175	-182	-175	-190	56.6	-1.5	-110	-4.5	-102	-4.5	-103	-4.5	-105	-4.5	-115	-4.5	-110	-4	-107.5	-1.5	-4.5	-102	-115	50.6	217.5	-110	215.5	-106	215.5	-107	215.5	-105	215	-115	215.5	-110	215.75	-108.83	217.5	215	-105	-115	99	14	W	184
11/30/18	home	Phoenix	Orlando	1610612756	21800327	47.2	100		167	160	165	155	161.75	167	155	43.4	1.5	-110	4.5	-112	4.5	-107	4.5	-105	4.5	-105	4.5	-110	4	-108.17	4.5	1.5	-105	-112	49.4	217.5	-110	215.5	-104	215.5	-103	215.5	-105	215	-105	215.5	-110	215.75	-106.17	217.5	215	-103	-110	85	-14	L	184
11/30/18	away	Dallas	L.A. Lakers	1610612742	21800328	51.7	144	154	155	150	155	158	154.4	158	150	53.1	3.5	-105	3.5	-102	4	-109	4	-105	4	-115	4	-107	3.83	-107.17	4	3.5	-102	-115	54.1	221	-110	223	-106	223	-103	223	-105	223	-115	223	-109	222.67	-108	223	221	-103	-115	103	-11	L	217
11/30/18	home	L.A. Lakers	Dallas	1610612747	21800328	48.3	-165	-171	-165	-170	-175	-178	-171.8	-165	-178	46.9	-3.5	-115	-3.5	-108	-4	-101	-4	-105	-4	-105	-4	-113	-3.83	-107.83	-3.5	-4	-101	-115	45.9	221	-110	223	-104	223	-107	223	-105	223	-105	223	-111	222.67	-107	223	221	-104	-111	114	11	W	217
11/30/18	away	Denver	Portland	1610612743	21800329	47.9	125	110	103	-105	105	103	63.2	110	-105	45.4	2.5	-105	1.5	-101	1	-105			2	-115	1.5	-107	1.7	-106.6	2.5	1	-101	-115	56.7	214.5	-110	214	-108	214	-105	214	-105	214	-115	214	-116	214.08	-109.83	214.5	214	-105	-116	113	1	W	225
11/30/18	home	Portland	Denver	1610612757	21800329	52.1	-145	-121	-113	-115	-125	-123	-119.4	-113	-125	54.6	-2.5	-115	-1.5	-109	-1	-105			-2	-105	-1.5	-113	-1.7	-109.4	-1	-2.5	-105	-115	43.3	214.5	-110	214	-102	214	-105	214	-105	214	-105	214	-104	214.08	-105.17	214.5	214	-102	-110	112	-1	L	225
12/1/18	away	Milwaukee	New York	1610612749	21800330	48.4	-390	-350	-365	-400	-400		-378.75	-350	-400	51.2	-9	-110			-8	-108	-8.5	-105	-8.5	-110	-8	-112	-8.4	-109	-8	-9	-105	-112	39.9			230.5	-102	230.5	-108	229.5	-105	230	-105	230	-110	230.1	-106	230.5	229.5	-102	-110	134	-2	L	270
12/1/18	home	New York	Milwaukee	1610612752	21800330	51.6	310	305	328	320	300		313.25	328	300	48.8	9	-110			8	-102	8.5	-105	8.5	-110	8	-108	8.4	-107	9	8	-102	-110	60.1			230.5	-108	230.5	-102	229.5	-105	230	-115	230	-110	230.1	-108	230.5	229.5	-102	-115	136	2	W	270
12/1/18	away	Golden State	Detroit	1610612744	21800331	60.9	-185	-183	-184	-195	-210	-192	-192.8	-183	-210	61.7	-4	-110			-4	-107	-4.5	-105	-5	-105	-4.5	-106	-4.4	-106.6	-4	-5	-105	-110	57.9	226.5	-110	228.5	-104	229	-107	229.5	-105	230	-105			228.7	-106.2	230	226.5	-104	-110	102	-9	L	213
12/1/18	home	Detroit	Golden State	1610612765	21800331	39.1	160	164	170	170	175	167	169.2	175	164	38.3	4	-110			4	-103	4.5	-105	5	-115	4.5	-114	4.4	-109.4	5	4	-103	-115	42.1	226.5	-110	228.5	-106	229	-103	229.5	-105	230	-115			228.7	-107.8	230	226.5	-103	-115	111	9	W	213
12/1/18	away	Toronto	Cleveland	1610612761	21800332	46.5	-1400	-839	-800	-875	-1100		-903.5	-800	-1100	52.8			-12	-101			-12	-105	-12.5	-105			-12.17	-103.67	-12	-12.5	-101	-105	44.6	217.5	-110	213	-104	213	-103			213	-110	213	-110	213.9	-107.4	217.5	213	-103	-110	106	11	W	201
12/1/18	home	Cleveland	Toronto	1610612739	21800332	53.5	837	664	635	625	650		643.5	664	625	47.2			12	-109			12	-105	12.5	-115			12.17	-109.67	12.5	12	-105	-115	55.4	217.5	-110	213	-106	213	-107			213	-110	213	-110	213.9	-108.6	217.5	213	-106	-110	95	-11	L	201
12/1/18	away	Brooklyn	Washington	1610612751	21800333	54.2	172	222		230	225	215	223	230	215	54.3	4.5	-110	6.5	-109	6.5	-108	6.5	-105	6.5	-115	6.5	-113	6.17	-110	6.5	4.5	-105	-115	59.6	226	-110	228	-104	228	-103	228	-105	228	-110	228	-110	227.67	-107	228	226	-103	-110	88	-14	L	190
12/1/18	home	Washington	Brooklyn	1610612764	21800333	45.8	-205	-250		-280	-275	-255	-265	-250	-280	45.7	-4.5	-110	-6.5	-101	-6.5	-102	-6.5	-105	-6.5	-105	-6.5	-107	-6.17	-105	-4.5	-6.5	-101	-110	40.4	226	-110	228	-106	228	-107	228	-105	228	-110	228	-110	227.67	-108	228	226	-105	-110	102	14	W	190
12/1/18	away	Chicago	Houston	1610612741	21800334	56.1	711	880	850	880	725	850	837	880	725	42.3	11.5	-110			13.5	-105	13.5	-105	13.5	-110	13.5	-112	13.1	-108.4	13.5	11.5	-105	-112	47	220	-110	219.5	-105	219	-108	219	-105	219	-115	219	-103	219.25	-107.67	220	219	-103	-115	105	-16	L	226
12/1/18	home	Houston	Chicago	1610612745	21800334	43.9	-1100	-1187	-1050	-1230	-1300	-1250	-1203.4	-1050	-1300	57.7	-11.5	-110			-13.5	-105	-13.5	-105	-13.5	-110	-13.5	-108	-13.1	-107.6	-11.5	-13.5	-105	-110	53	220	-110	219.5	-105	219	-102	219	-105	219	-105	219	-117	219.25	-107.33	220	219	-102	-117	121	16	W	226
12/1/18	away	Boston	Minnesota	1610612738	21800335	54.1	110		108	105	100	108	105.25	108	100	51.5	1.5	-110	2	-107	1.5	-102	1.5	-105	1.5	-110	2	-112	1.67	-107.67	2	1.5	-102	-112	52.5	213.5	-110	216	-107	216	-107	216.5	-105	217	-105	216.5	-113	215.92	-107.83	217	213.5	-105	-113	118	9	W	227
12/1/18	home	Minnesota	Boston	1610612750	21800335	45.9	-130		-118	-125	-120	-128	-122.75	-118	-128	48.5	-1.5	-110	-2	-103	-1.5	-108	-1.5	-105	-1.5	-110	-2	-108	-1.67	-107.33	-1.5	-2	-103	-110	47.5	213.5	-110	216	-103	216	-103	216.5	-105	217	-115	216.5	-107	215.92	-107.17	217	213.5	-103	-115	109	-9	L	227
12/1/18	away	Indiana	Sacramento	1610612754	21800336	41.9	-110	-115	-122	-125	-120		-120.5	-115	-125	47.1	0	-110	-1.5	-104	-1.5	-108			-1.5	-110	-1.5	-110	-1.2	-108.4	0	-1.5	-104	-110	61.5	222.5	-110	224.5	-105	224.5	-104	225	-105	225	-110	225	-110	224.42	-107.33	225	222.5	-104	-110	110	-1	L	221
12/1/18	home	Sacramento	Indiana	1610612758	21800336	58.1	-110	104	112	105	100		105.25	112	100	52.9	0	-110	1.5	-106	1.5	-102			1.5	-110	1.5	-110	1.2	-107.6	1.5	0	-102	-110	38.5	222.5	-110	224.5	-105	224.5	-106	225	-105	225	-110	225	-110	224.42	-107.67	225	222.5	-105	-110	111	1	W	221
