Player,Team,GP,W,L,MIN,REB,CON_REB,CON_REB_PCT,REB_CHANCES,REB_CHANCES_PCT,DEFER_REB,ADJ_REB_CHANCE_PCT,AVG_REB_DIST
Kyrie Irving,CLE,74,52,22,36.3,3.1,0.7,22.3,8.9,35.5,0.5,37.6,11.4
LaMarcus Aldridge,POR,71,48,23,35.4,10.2,4.3,42.1,16.1,63.6,0.9,67.5,5.3
Lance Stephenson,CHA,61,23,38,25.8,4.5,0.8,17.7,8.4,54,0.5,57.7,6.4
Lance Thomas,NYK,61,20,41,24.1,3.1,0.9,28.8,6.8,46,0.4,48.7,8.6
Landry Fields,TOR,26,16,10,8.3,1,0.2,23.1,1.8,56.5,0.1,60.5,7.6
Langston Galloway,NYK,44,12,32,32.5,4.3,0.9,20.6,8.4,51.2,0.7,55.9,10
Larry Drew II,PHI,12,4,8,18.3,1.3,0,0,3.3,37.5,0.4,42.9,9.3
Larry Sanders,MIL,27,12,15,21.7,6.1,3.5,57.2,12.3,49.8,0.7,52.9,4.3
Lavoy Allen,IND,63,29,34,17,5.1,2.3,45.8,9.8,52.2,0.7,55.9,5
LeBron James,CLE,68,50,18,36.1,6.1,1.5,25.5,10.9,55.4,0.3,56.7,7.7
Leandro Barbosa,GSW,66,54,12,14.9,1.4,0.3,25.3,3,45.3,0.2,48.4,10.9
Lester Hudson,LAC,5,5,0,11.1,1.6,0.8,50,3.4,47.1,0.2,50,8.9
Lorenzo Brown,MIN,29,6,23,18.9,2.4,0.6,24.3,4.9,49,0.3,52.6,8.1
Lou Amundson,NYK,52,17,35,17.7,5,2.4,47.7,11.1,45.6,0.8,49,4.5
Lou Williams,TOR,80,48,32,25.2,1.9,0.3,16.6,4.4,42.8,0.3,45.9,10.5
Luc Mbah a Moute,PHI,67,16,51,28.6,4.9,2,40.5,11.3,43.4,0.7,46.4,7.4
Lucas Nogueira,TOR,6,3,3,3.8,1.8,1.2,63.6,2.7,68.8,0.2,73.3,4.7
Luis Scola,IND,81,37,44,20.5,6.5,2.8,43.3,12,54.3,0.8,58.3,4.7
Luke Babbitt,NOP,63,34,29,13.2,1.8,0.6,35.1,3.8,45.9,0.3,49.8,6.4
Luke Ridnour,ORL,47,13,34,14.5,1.4,0.3,17.6,2.8,51.5,0.1,54.4,9.6
Luol Deng,MIA,71,32,39,33.5,5.2,1.8,34.5,10.8,47.9,0.8,51.9,7.6
Malcolm Lee,PHI,1,0,1,2,0,0,0,0,0,0,0,0
Malcolm Thomas,PHI,17,2,15,11.4,3.3,1.7,51.8,5.5,59.6,0.4,64.4,4.7
Manu Ginobili,SAS,70,47,23,22.7,3,0.9,28.9,6.5,46.2,0.5,49.8,8.7
Marc Gasol,MEM,81,55,26,33.2,7.8,4.2,53.5,14,55.4,0.8,58.9,5.2
Marcin Gortat,WAS,82,46,36,29.9,8.7,3.5,39.9,17.1,51.3,1.1,54.8,4.7
Marco Belinelli,SAS,62,41,21,22.4,2.5,0.4,16.6,4.8,52.3,0.2,55.1,9.1
Marcus Morris Sr.,PHX,81,39,42,25.2,4.8,1.8,38.4,9.1,52.5,0.5,55.4,6.3
Marcus Smart,BOS,67,35,32,27,3.3,1.1,32.9,7.2,46.2,0.5,49.4,8.7
Marcus Thornton,PHX,48,19,29,15,1.8,0.4,23.3,4.3,41.5,0.3,44.8,8.1
Mario Chalmers,MIA,79,35,44,29.6,2.6,0.5,18,6.9,37.5,0.5,40.1,9.9
Markel Brown,BKN,47,23,24,16.6,2.3,0.5,20.6,4.4,51.2,0.3,54.3,8.3
Markieff Morris,PHX,82,39,43,31.5,6.2,2.5,40.5,12.4,49.7,1.1,54.3,5.8
Marreese Speights,GSW,76,62,14,15.9,4.3,2.5,57.8,8.7,49.3,0.6,52.8,4.4
Martell Webster,WAS,32,12,20,11,1.4,0.4,26.1,2.6,55.4,0.2,59,6.6
Marvin Williams,CHA,78,32,46,26.1,4.9,1.6,31.3,9.4,52.7,0.8,57.4,6.5
Mason Plumlee,BKN,82,38,44,21.3,6.2,3.3,52.7,12.4,50.5,0.8,54.2,4.7
Matt Barnes,LAC,76,51,25,29.9,4,1.1,27.8,8.1,49.3,0.7,54,7.1
